Идентификатор,Комнатность,Новостройка,Метро/Район,Время до метро,Улица,Дом,Этаж,Площадь общая,Площадь жилая,Площадь кухни,Цена в руб.,Цена в долл.,Цена в евро,Источник получения,Дата объявления,Контакты,На сайте,Описание
23455340,2/2,Нет,Сухаревская,5п,Васнецова пер,11,3/5,45,32.2,6,10 000 000,284 252,209 904,Азбука Жилья,19.10.2013 5:05:10,"Тел.: +7 (495) 795-0569, http://http://www.azbuka-vtorich.ru/67902, mailto:vtorich@azbuka.ru",,"Квартира 2-комн., общ.пл.-45, жил.пл.-32.2, кухня-6, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Васнецова пер, 11/2, этаж/этажность -3/5, балкон:Б, санузел-разд., В собственности более 3-х лет, отличное расположение дома (в шаговой доступности 3 станции метро), комнаты смежные, 17.1 и 15.1 кв.м., альтернатива. Менеджер по продажам: 8-903-233-47-45, Цена:10 млн. руб."
23947096,1/1,Нет,Полянка,1п,Большая Полянка,28,3/16,40,21,8,10 000 000,284 252,209 904,Дом Сервис+,10.01.2014 5:20:19,"Тел.: 89037997352, http://www.7829980.ru, mailto:7829980@mail.ru",,"Квартира 1-комн., общ.пл.-40, жил.пл.-21, кухня-8, метро или район:Полянка, 1 мин. п, адрес:Москва, Большая Полянка, 28/1, этаж/этажность -3/16, балкон:Б, санузел-разд., Лот: А25690 : 1 квартира, Москва, м. Полянка, Большая Полянка, д. 28К1 Чистый подъезд, консьерж. Въезд во двор, под шлагбаум. Паркинг, во дворе. Квартира требует ремонта. Все окна, во ДВОР!!! полная стоимость, в ДКП. Без торга., Цена:10 млн. руб."
23947095,1/1,Нет,Маяковская,5п,4-я Тверская-Ямская,2/11С2,8/9,35,18,7,10 000 000,284 252,209 904,Дом Сервис+,10.01.2014 5:20:19,"Тел.: 89037997352, http://www.7829980.ru, mailto:7829980@mail.ru",,"Квартира 1-комн., общ.пл.-35, жил.пл.-18, кухня-7, метро или район:Маяковская, 5 мин. п, адрес:Москва, 4-я Тверская-Ямская, 2/11С2, этаж/этажность -8/9, балкон:Б, санузел-разд., Лот: А25687 : 1 квартира, Москва, м. Маяковская, 4 Тверская-Ямская, д. 2/11 С2 Чистый подъезд, консьерж, Красивый вид из окон. Зеленый двор. Среднее состояние. Полная стоимость в ДКП. Без торга., Цена:10 млн. руб."
24050088,2/2,Нет,Новокузнецкая,5п,Озерковская наб,2/1,9/16,39.60,22.30,7.00,10 000 000,291 885,215 540,ИНКОМ-Недвижимость,31.01.2014 12:50:18,"Тел.: +7(495)363-04-04, mailto:mk-kn@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0253169&ir=bazaincom,"Квартира 2-комн., общ.пл.-39.60, жил.пл.-22.30, кухня-7.00, метро или район:Новокузнецкая, 5 мин. п, адрес:Москва, Озерковская наб, 2/1, этаж/этажность -9/16, телефон-ЕСТЬ, санузел-разд., Лот: вт-0253169, живописная набережная исторического центра Москвы, Замоскворечье, развитая инфраструктура, прекрасный вид из окна, тихие, интеллигентные соседи, +7(926)480-9760., Цена:10 млн. руб.|291.885 тыс.$|215.54 тыс. евро"
23963901,1/1,Нет,Новокузнецкая,,Космодамианская наб,4/22,5/9,32.00,18.80,7.00,10 200 000,297 723,219 851,ИНКОМ-Недвижимость,15.01.2014 12:20:40,"Тел.: +7(495)363-04-56, mailto:mk_sc@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251624&ir=bazaincom,"Квартира 1-комн., общ.пл.-32.00, жил.пл.-18.80, кухня-7.00, метро или район:Новокузнецкая, адрес:Москва, Космодамианская наб, 4/22/А, этаж/этажность -5/9, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0251624, дом на набережной, тихий зеленый двор, хорошее состояние кв-ры, окна во двор, стеклопакеты, перекрыт.ж/б, выс.пот.2,8, чистый подъезд, прямая продажа, свободна Содействие в получении специальных условий и преференций по ипотеке., Цена:10.2 млн. руб.|297.723 тыс.$|219.851 тыс. евро"
23805673,1/1,Нет,Цветной бульвар,7п,Малая Сухаревская пл,3,3/10,36,19,7,10 500 000,298 465,220 399,Бест.Центр Заг.Недв.,06.12.2013 7:35:09,"Тел.: +7-916-745-20-50, http://http://www.9256601.ru/item19089.html, mailto:dom@9256601.ru",,"Квартира 1-комн., общ.пл.-36, жил.пл.-19, кухня-7, метро или район:Цветной бульвар, 7 мин. п, адрес:Москва, Малая Сухаревская пл, 3, этаж/этажность -3/10, телефон-ЕСТЬ, санузел-совм., Лот N 19089. Малая Сухаревская площадь 3, Две минуты пешком до метро. Фасадный сталинский дом. Товарищество собственников, огороженная территория. КПП, пропускная система въезда, видеонаблюдение. Своя детская площадка и парковка во дворе. Лифт. Необычная планировка квартиры. Большой встроенный шкаф в коридоре.  ..."
23805674,1/1,Нет,Сухаревская,5п,Малая Сухаревская пл,3,3/10,36,19,7,10 500 000,298 465,220 399,Бест.Центр Заг.Недв.,06.12.2013 7:35:09,"Тел.: +7-916-745-20-50, http://http://www.9256601.ru/item19088.html, mailto:dom@9256601.ru",,"Квартира 1-комн., общ.пл.-36, жил.пл.-19, кухня-7, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Малая Сухаревская пл, 3, этаж/этажность -3/10, телефон-ЕСТЬ, санузел-совм., Лот N 19088. Эксклюзив. Малая Сухаревская площадь 3, Две минуты пешком до метро. Фасадный сталинский дом. Товарищество собственников, огороженная территория. КПП, пропускная система въезда, видеонаблюдение. Своя детская площадка и парковка во дворе. Лифт. Необычная планировка квартиры. Большой встроенный шкаф в кор ..."
22950996,1/1,Нет,Красные Ворота,10п,Каланчевская,47,5/6,40.60,18.70,8.00,10 500 000,306 479,226 317,ИНКОМ-Недвижимость,04.09.2013 13:20:26,"Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0242292&ir=bazaincom,"Квартира 1-комн., общ.пл.-40.60, жил.пл.-18.70, кухня-8.00, метро или район:Красные Ворота, 10 мин. п, адрес:Москва, Каланчевская, 47, этаж/этажность -5/6, балкон:Б, санузел-совм., Лот: вт-0242292, дизайнерский ремонт, стеклопакеты, ламинат, полы с подогревом, кондиционер, лифт есть, Цена:10.5 млн. руб.|306.479 тыс.$|226.317 тыс. евро"
23815720,2/2,Нет,Сухаревская,5п,Мещанская,2,4/5,37,27,4,10 900 000,309 835,228 795,Дом Сервис+,11.12.2013 5:20:41,"Тел.: 89037294075, http://www.7829980.ru, mailto:7829980@mail.ru",,"Квартира 2-комн., общ.пл.-37, жил.пл.-27, кухня-4, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Мещанская, 2, этаж/этажность -4/5, балкон:Б, санузел-совм., Лот: А26367 : 2 квартира, Москва, м. Сухаревская, Мещанская, д.2 Продается уютная 2-х комнатная квартира для одного человека или молодой семьи в самом центре деловой Москвы. Удобное расположение во всех отношениях: тихое место, парковка во дворе, магазины, соц. службы. Квартира требует ремонта. Альтернатива простая. Взрослые собст ..."
23686692,2/3,Нет,Смоленская,3п,Кривоарбатский пер.,3,5/7,73.5,31.0,9.0,11 000 000,312 677,230 894,Ризолит на Белорус.,09.11.2013 5:35:23,"Тел.: (495) 925-8825, mailto:info@9258825.ru",http://9258825.ru/realty/viewRealtyFlat.act?realtyObjectId=1129585,"Квартира 3-комн., общ.пл.-73.5, жил.пл.-31.0, кухня-9.0, метро или район:Смоленская, 3 мин. п, адрес:Москва, Кривоарбатский пер., 3, этаж/этажность -5/7, Продаются 2 комнаты в 3-х комнатной квартире, 19 и 12 кв.м. Доходный дом И. В. Борисова. Одна соседка, перспектива выкупа ее комнаты. Видовая квартира, рядом пешеходная улица Арбат, д/сады, школы, театры, Кремль. Интересная планировка. Потолки 3,40. Состояние дома и подъезда отличное.Отличный панорамный вид из окон. Возможна продажа по ипот ..."
24043704,1,Нет,Пушкинская,10п,Садовая-Триумфальная,22/31,10/16,40.5,20,9,11 500 000,326 890,241 389,Н&Ц,31.01.2014 4:35:10,Тел.: 8-985-231-6351,,"Квартира 1-комн., общ.пл.-40.5, жил.пл.-20, кухня-9, метро или район:Пушкинская, 10 мин. пеш., адрес:Москва, Садовая-Триумфальная, 22/31, этаж/этажность -10/16, Дом ЖСК, больш. застекл. лоджия на 2 окна, больш. с/у, отл. подъезд, консьерж, огорож. террит., Цена:11.5 млн. руб.Простая продажа."
23374902,1/1,Нет,Полянка,5п,Полянка Б.,30,6/14,39.00,19.00,10.00,11 500 000,335 668,247 871,ИНКОМ-Недвижимость,12.10.2013 12:20:41,"Тел.: +7(495)363-08-80, mailto:mkv_ak@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0245294&ir=bazaincom,"Квартира 1-комн., общ.пл.-39.00, жил.пл.-19.00, кухня-10.00, метро или район:Полянка, 5 мин. п, адрес:Москва, Полянка Б., 30, этаж/этажность -6/14, балкон:Л, телефон-ЕСТЬ, санузел-совм., Лот: вт-0245294, Исторический центр Москвы, вид из окон на храмы, огороженная территория, охраняемый паркинг, чистый подъезд, в собственности с 1993 г, большая лоджия из комнаты и кухни, торг. Содействие в получении специальных условий и преференций по ипотеке., Цена:11.5 млн. руб.|335.668 тыс.$|247.871 тыс. ..."
23817987,1/1,Нет,Китай-город,5п,Маросейка,10,4/5,44.70,31.00,13.70,11 500 000,335 668,247 871,ИНКОМ-Недвижимость,11.12.2013 12:35:37,"Тел.: +7(495)363-99-30, mailto:mk_war@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0220342&ir=bazaincom,"Квартира 1-комн., общ.пл.-44.70, жил.пл.-31.00, кухня-13.70, метро или район:Китай-город, 5 мин. п, адрес:Москва, Маросейка, 10/3, этаж/этажность -4/5, телефон-ЕСТЬ, санузел-разд., Лот: вт-0220342, хорошее состояние, потолки 3,20 м, новый лифт, тихий переулок и двор, квартира в 15 мин. ходьбы от Кремля, 2 взрослых собственника, срочно, Цена:11.5 млн. руб.|335.668 тыс.$|247.871 тыс. евро"
21953207,2,Нет,Сухаревская,5п,Сухаревский Б. пер,14,3/12,39,27,7,11 961 200,340 000,251 070,Eurodoma,15.05.2013 5:50:10,"Тел.: (495)777-3017,(903)133-2743, http://www.arendamsk.ru, mailto:7773017@mail.ru",,"Квартира 2-комн., общ.пл.-39, жил.пл.-27, кухня-7, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Сухаревский Б. пер, 14, этаж/этажность -3/12, Продается двух комнатная квартира, м. Сухаревская, Большой сухаревский переулок, д. 14. Приличное состояние, паркет, недавно замена коммуникаций. Свободная продажа. Застекленный балкон, Один взрослый собственник. ДКП более 3 лет (14 лет)., Цена:340 тыс.$за объект"
24050060,3/3,Нет,Красные Ворота,7п,Басманный туп,10/12,1/9,67.00,40.80,11.00,12 000 000,350 262,258 648,ИНКОМ-Недвижимость,31.01.2014 12:35:36,"Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0252446&ir=bazaincom,"Квартира 3-комн., общ.пл.-67.00, жил.пл.-40.80, кухня-11.00, метро или район:Красные Ворота, 7 мин. п, адрес:Москва, Басманный туп, 10/12, этаж/этажность -1/9, телефон-ЕСТЬ, санузел-разд., Лот: вт-0252446, квартира будет удобно и в качестве офиса, т.к. на проходном месте и в качестве жилья для семьи, т.к. рядом Сад им.Баумана, дом недавно отреставрирован, большой двор, 8-985-832-20-80, Цена:12 млн. руб.|350.262 тыс.$|258.648 тыс. евро"
23455161,2/2,Нет,Смоленская,10п,Новый Арбат,34,5/5,43,26,5,12 000 000,341 102,251 884,Азбука Жилья,19.10.2013 5:05:10,"Тел.: +7 (495) 795-0569, http://http://www.azbuka-vtorich.ru/70239, mailto:vtorich@azbuka.ru",,"Квартира 2-комн., общ.пл.-43, жил.пл.-26, кухня-5, метро или район:Смоленская, 10 мин. п, адрес:Москва, Новый Арбат, 34, этаж/этажность -5/5, балкон:Б, санузел-разд., Первичные документы более 3-х лет, чистый подъезд, домофон, стеклопакеты, кондиционер, комнаты изолированные, хорошее состояние, шаговая доступность до 3-х станций метро, прекрасный вид из окон на Кутузовский проспект, гостинница Украина, Белый Дом, ухоженный двор с детской площадкой, рядом школа, д/сад, можно сделать прекрасну ..."
23805926,3/3,Нет,Красные Ворота,5п,Басманная Н.,4-6,4/8,65.00,44.00,7.00,12 190 000,355 808,262 744,ИНКОМ-Недвижимость,06.12.2013 12:20:56,"Тел.: +7(495)363-08-80, mailto:mkv_ak@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0226524&ir=bazaincom,"Квартира 3-комн., общ.пл.-65.00, жил.пл.-44.00, кухня-7.00, метро или район:Красные Ворота, 5 мин. п, адрес:Москва, Басманная Н., 4-6/3, этаж/этажность -4/8, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0226524, Быстрый выход на сделку, 5 минут пешком от метро Красные Ворота, изолированные комнаты, h-3м, ванная комната с окном, вид на храм, рядом д/с, школа, срочно. Содействие в получении специальных условий и преференций по ипотеке., Цена:12.19 млн. руб.|355.808 тыс.$|262.744 тыс. евро"
23960983,1/1,Нет,Смоленская,1п,Карманицкий пер,5,4/9,36.00,17.00,8.00,12 300 000,359 019,265 115,ИНКОМ-Недвижимость,14.01.2014 14:35:32,"Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0237795&ir=bazaincom,"Квартира 1-комн., общ.пл.-36.00, жил.пл.-17.00, кухня-8.00, метро или район:Смоленская, 1 мин. п, адрес:Москва, Карманицкий пер, 5/1, этаж/этажность -4/9, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0237795, дом Совмина, огороженная территория с д/площадкой, окна выходят в тихий зеленый двор, эркер, балкон, тамбур на две квартиры, подъезд после капремонта, домофон, 1 взрослый собственник более 3-х лет, легкая альтернатива, Цена:12.3 млн. руб.|359.019 тыс.$|265.115 тыс. евро"
23796186,1/1,Нет,Цветной бульвар,10п,Делегатская,9,11/16,36.00,19.00,9.00,12 450 000,363 397,268 348,ИНКОМ-Недвижимость,04.12.2013 12:20:58,"Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0234300&ir=bazaincom,"Квартира 1-комн., общ.пл.-36.00, жил.пл.-19.00, кухня-9.00, метро или район:Цветной бульвар, 10 мин. п, адрес:Москва, Делегатская, 9/1, этаж/этажность -11/16, балкон:Б, телефон-ЕСТЬ, Лот: вт-0234300, хорошее состояние квартиры, консьерж, рядом метро, центр города, зеленый двор, сквер, Екатерининский парк, свободная продажа., Цена:12.45 млн. руб.|363.397 тыс.$|268.348 тыс. евро"
22380441,1/1,Нет,Смоленская,7п,Девятинский Б. пер,3,1/6,38.00,22.00,7.00,12 500 000,364 856,269 425,ИНКОМ-Недвижимость,28.06.2013 12:21:05,"Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0237873&ir=bazaincom,"Квартира 1-комн., общ.пл.-38.00, жил.пл.-22.00, кухня-7.00, метро или район:Смоленская, 7 мин. п, адрес:Москва, Девятинский Б. пер, 3, этаж/этажность -1/6, санузел-разд., Лот: вт-0237873, большая квадратная комната, шаговая доступность до м.Баррикадная, идеально под коммерческую недвижимость, тихий офис, представительство, в доме проведен капремонт с заменой коммуникаций, рядом парковка, более 3-х лет в собственности, юридически и физически свободна, Цена:12.5 млн. руб.|364.856 тыс.$|269.425 ..."
23657058,2/2,Нет,Сухаревская,7п,Спасская Б.,33,3/16,53.20,32.00,9.20,12 600 000,367 775,271 581,ИНКОМ-Недвижимость,06.11.2013 12:21:02,"Тел.: +7(495)363-17-01, mailto:mk_mit@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0247265&ir=bazaincom,"Квартира 2-комн., общ.пл.-53.20, жил.пл.-32.00, кухня-9.20, метро или район:Сухаревская, 7 мин. п, адрес:Москва, Спасская Б., 33, этаж/этажность -3/16, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0247265, уютная квартира в центре Москвы, в шаговой доступности д/с, школа, в доме магазин ""Магнолия"", в подъезде консъерж, в собственности более 3-х лет Содействие в получении специальных условий и преференций по ипотеке., Цена:12.6 млн. руб.|367.775 тыс.$|271.581 тыс. евро"
23953259,2/2,Нет,Маяковская,7п,Каретный М. пер,5,4/4,60.00,32.00,9.50,12 800 000,373 613,275 892,ИНКОМ-Недвижимость,11.01.2014 12:35:30,"Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251438&ir=bazaincom,"Квартира 2-комн., общ.пл.-60.00, жил.пл.-32.00, кухня-9.50, метро или район:Маяковская, 7 мин. п, адрес:Москва, Каретный М. пер, 5, этаж/этажность -4/4, телефон-ЕСТЬ, санузел-разд., Лот: вт-0251438, Старая Москва, историческое место, ж/б перекрытия, м/место во дворе за шлагбаумом, в квартире косметический ремонт, бонус агентам - 100 тыс.руб, 8-910-440-96-91 Содействие в получении специальных условий и преференций по ипотеке., Цена:12.8 млн. руб.|373.613 тыс.$|275.892 тыс. евро"
23684406,1/1,Нет,Кропоткинская,7п,Гагаринский пер,31,1/14,35.00,18.00,8.00,13 000 000,379 451,280 203,ИНКОМ-Недвижимость,08.11.2013 12:35:42,"Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0232716&ir=bazaincom,"Квартира 1-комн., общ.пл.-35.00, жил.пл.-18.00, кухня-8.00, метро или район:Кропоткинская, 7 мин. п, адрес:Москва, Гагаринский пер, 31, этаж/этажность -1/14, балкон:Л, санузел-разд., Лот: вт-0232716, хорошее состояние, плитка в с/у и на кухне, большая лоджия, высокий 1-ый этаж, чистый подъезд, кирпичный ведомственный дом, 7мин. пешком до м.Смоленская и Кропоткинская, альтернатива, Цена:13 млн. руб.|379.451 тыс.$|280.203 тыс. евро"
23684378,1/1,Нет,Смоленская,7п,Гагаринский пер,31,1/14,35.00,18.00,8.00,13 000 000,379 451,280 203,ИНКОМ-Недвижимость,08.11.2013 12:35:42,"Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0233846&ir=bazaincom,"Квартира 1-комн., общ.пл.-35.00, жил.пл.-18.00, кухня-8.00, метро или район:Смоленская, 7 мин. п, адрес:Москва, Гагаринский пер, 31, этаж/этажность -1/14, балкон:Л, санузел-разд., Лот: вт-0233846, хорошее состояние, плитка в с/у и на кухне, большая лоджия, высокий 1-ый этаж, чистый подъезд, кирпичный ведомственный дом, 7 мин.пешком до м. Кропоткинская, альтернатива, Цена:13 млн. руб.|379.451 тыс.$|280.203 тыс. евро"
23250510,2/2,Нет,Смоленская,7п,Новоконюшенный пер,14,4/6,55.00,34.00,9.00,13 300 000,388 207,286 669,ИНКОМ-Недвижимость,03.10.2013 12:35:36,"Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0244628&ir=bazaincom,"Квартира 2-комн., общ.пл.-55.00, жил.пл.-34.00, кухня-9.00, метро или район:Смоленская, 7 мин. п, адрес:Москва, Новоконюшенный пер, 14, этаж/этажность -4/6, балкон:Б, санузел-разд., Лот: вт-0244628, т. 8-926-215-72-78 Светлана, хорошее состояние, юр. и физ. свободна, более 3-лет в собств., Цена:13.3 млн. руб.|388.207 тыс.$|286.669 тыс. евро"
