"LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","BAD"
24300,110442,138581,"DebtCon","Mgr",9,2,0,175.15368945,4,17,40.348885329,0
67400,66095,147203,"HomeImp","Office",10,0,0,118.76476119,0,11,42.045672009,0
18800,7739,65181,"DebtCon","Sales",0,0,0,315.23089754,0,6,37.983557776,0
14400,78777,103344,"HomeImp","ProfExe",5,0,0,104.40459654,1,27,24.35085757,0
50100,48370,106233,"HomeImp","Self",8,0,0,193.65090514,3,36,39.935343568,0
18600,51936,75278,"DebtCon","ProfExe",3,0,0,199.80175424,0,21,36.995645842,1
6900,70717,87466,"HomeImp","Other",2,0,0,112.58906066,0,15,41.428089899,0
88900,48919,93371,"DebtCon","Other",15,0,1,205.65015947,0,15,34.818261819,0
16200,34984,46382,"DebtCon","Other",11,0,0,175.14431949,3,20,39.740928127,1
27700,85285,116468,"DebtCon","Other",9,0,0,312.80792835,0,36,35.96802437,1
11700,56441,86987,"HomeImp","Other",17,0,0,198.03271759,0,16,33.931163419,0
16400,54818,74447,"DebtCon","Office",3,2,3,208.08886428,1,50,41.95642972,1
12800,66293,92423,"HomeImp","Office",27,0,0,169.72388834,1,14,41.232162564,0
29200,50105,83815,"DebtCon","Other",21,0,0,188.20102865,0,26,35.595750669,0
20200,34676,62987,"DebtCon","Other",1,0,0,112.79908664,0,17,22.093045945,0
30400,46948,80473,"DebtCon","Office",0,0,0,151.59709716,2,19,37.753876623,0
18000,72152,102671,"HomeImp","ProfExe",7,0,0,84.639348205,0,16,32.886875225,0
23400,45766,66192,"DebtCon","Other",26,0,0,284.78157228,2,32,35.936794804,0
9300,79724,105493,"DebtCon","Mgr",2,0,0,63.43088731,2,23,39.38611808,0
10000,41949,51684,"DebtCon","Other",15,0,0,84.123450947,0,12,31.267318776,0
13400,53294,69042,"DebtCon","Other",0,0,0,214.36204349,0,9,36.30954976,0
36400,86853,131508,"DebtCon","Mgr",30,0,0,349.69439938,0,19,40.107031361,0
25100,77088,111568,"DebtCon","Mgr",7,0,0,288.00802523,2,29,32.550837642,0
27900,69589,115061,"DebtCon","Other",5,0,0,97.8638453,1,32,41.473971731,0
71200,196601,289430,"DebtCon","Self",12,0,0,226.91430725,2,25,29.220351072,0
25400,69035,108365,"DebtCon","ProfExe",13,0,0,281.22191088,1,33,39.543341495,0
12900,89510,102628,"HomeImp","Other",20,0,0,117.85717268,3,24,28.537354092,0
30100,228006,285921,"DebtCon","ProfExe",15,0,0,250.53988412,2,25,27.813291406,0
50900,53334,63298,"DebtCon","Office",12,0,0,106.68828922,1,25,37.312097364,0
16200,25329,37433,"DebtCon","ProfExe",21,1,0,207.15954753,2,16,32.718088027,0
27300,37636,73328,"DebtCon","Mgr",12,0,0,80.792693759,6,16,34.268228014,0
22500,96170,118502,"HomeImp","Mgr",10,0,0,118.15195,1,24,33.200548022,0
42000,21314,68047,"DebtCon","Other",21,0,0,209.89769417,1,30,39.946385352,0
22000,81668,123978,"DebtCon","Other",8,0,0,285.14175022,1,16,37.417108014,0
5500,37368,48502,"HomeImp","Mgr",9,0,2,48.995845002,0,10,33.126483967,1
14300,85631,1e+05,"HomeImp","Other",20,0,0,144.99929699,3,23,30.130636379,0
5100,72891,80691,"HomeImp","Other",1,1,0,273.88170516,0,6,39.852146515,0
23900,90244,NA,"DebtCon","Self",3,0,0,194.98725245,1,26,35.406059646,0
38400,31458,NA,"DebtCon","ProfExe",4,0,0,191.97555843,2,17,24.985362469,0
24800,82670,106563,"DebtCon","Mgr",8,0,0,302.98443202,2,28,30.956485836,0
28600,105907,156126,"DebtCon","ProfExe",10,0,0,165.09073496,1,17,33.231300882,0
12800,68729,90127,"HomeImp","Office",23,0,0,163.98927891,1,14,39.424487787,0
4900,58688,63348,"DebtCon","ProfExe",9,0,3,179.16257471,2,31,22.544392837,0
15200,71233,84439,"DebtCon","Other",1,0,0,242.98332141,2,26,32.210050357,0
13400,53699,68084,"DebtCon","Other",3,0,0,169.85244928,0,14,25.10971349,0
4900,67794,84630,"HomeImp","Other",4,0,0,112.57341888,0,15,41.673996362,0
34100,138523,196555,"DebtCon","ProfExe",21,0,0,NA,1,22,38.896039504,0
65100,67389,142740,"HomeImp","Office",9,0,1,116.90610408,0,11,43.368718125,0
53600,235895,299772,"HomeImp","Mgr",5,0,0,112.74828189,7,22,44.945929149,1
19000,22236,NA,"HomeImp","Self",7,0,0,296.08019369,0,27,27.640018057,0
22900,191970,232998,"DebtCon","ProfExe",3,0,0,301.13845241,0,27,36.788469564,0
12100,13218,82386,"DebtCon","Other",7,0,0,262.39425427,0,14,18.430472375,0
13000,26863,44218,"HomeImp","Other",10,0,0,92.99959341,2,11,29.112936155,0
13000,67395,94355,"DebtCon","Office",8,0,0,214.48449255,3,28,40.970466815,0
1700,30548,40320,"HomeImp","Other",9,0,0,101.46600191,1,8,37.113613558,1
23000,71902,101750,"HomeImp","Other",5,0,0,214.38925238,0,13,29.045964061,0
9900,35448,58056,"DebtCon","Other",11,0,0,229.5228444,1,31,37.297432095,0
23700,62949,99295,"HomeImp","Office",15,0,0,145.35528027,0,14,36.032760292,0
21000,133430,189263,"DebtCon","ProfExe",22,0,0,229.98699803,1,23,40.564121581,0
10400,45710,55299,"DebtCon","Office",0,0,0,166.37415023,0,20,34.536411741,0
18200,63852,93356,"DebtCon","Other",1,0,0,181.91176992,0,31,33.209409246,0
6400,62746,75016,"DebtCon","ProfExe",12,0,0,133.10154783,0,20,40.188123128,0
28400,150784,NA,"HomeImp","Self",0,0,0,173.30549337,1,16,41.543254137,0
35200,239987,43028,"DebtCon","Mgr",2,0,1,210.18900524,3,49,41.336626731,0
21400,104657,147364,"DebtCon","Other",7,2,0,149.25448005,2,20,46.305072149,1
20200,59347,97816,"HomeImp","ProfExe",18,0,0,618.73589016,1,24,21.668642273,0
19500,52080,89913,"DebtCon","Other",12,0,0,110.76030661,0,9,4.337283357,0
7200,79946,113807,"DebtCon","Office",1,0,0,238.45882498,0,37,18.617288691,0
14700,30306,NA,"HomeImp","Other",9,0,1,87.431226279,2,12,29.404935156,0
19000,172108,195892,"DebtCon","ProfExe",10,0,0,276.76334062,0,38,24.475689897,0
16300,22352,165315,"HomeImp","Self",9,0,0,304.3346951,0,27,27.56242667,0
40600,362909,466731,"HomeImp","ProfExe",4,0,0,305.81241924,4,14,42.930339471,0
66000,62296,143982,"HomeImp","Office",12,0,1,121.34944271,0,10,41.6125057,0
6700,54161,59714,"HomeImp","Office",20,0,0,209.20630035,0,20,20.203517707,0
7900,78532,122952,"HomeImp","Office",29,0,0,332.64504738,1,37,35.311552628,0
21900,51861,68951,"DebtCon","ProfExe",10,0,0,188.97861712,0,42,38.999754155,0
22400,71051,102374,"HomeImp","Office",14,0,0,137.1896556,0,14,36.122068493,0
15700,53443,77704,"DebtCon","Office",2,0,5,73.087538893,0,16,45.195495871,1
18600,80970,101244,"DebtCon","ProfExe",0,0,0,272.88259897,2,20,39.808993217,0
9500,36114,45654,"DebtCon","Office",0,0,0,83.333291772,0,9,25.343478449,1
18000,90275,135792,"DebtCon","Mgr",13,0,0,178.66176401,1,26,33.336960792,0
22400,91402,100845,"DebtCon","ProfExe",2,1,0,132.21662181,0,20,35.682471229,0
21500,107799,160526,"DebtCon","Mgr",16,0,0,195.48568002,0,25,32.378768136,0
15500,20800,173566,"HomeImp","Self",6,0,0,292.03418548,0,26,25.562881927,0
15400,48275,69427,"DebtCon","ProfExe",17,0,0,202.54621956,0,15,23.160040592,0
17400,55575,78661,"DebtCon","Other",17,1,0,198.98960053,1,20,38.991431366,0
12800,56516,78392,"HomeImp","Other",0,0,1,195.72332191,0,13,27.337441385,0
27600,131887,174323,"DebtCon","Mgr",0,0,0,243.05371295,2,24,35.271867032,0
15500,71412,93723,"DebtCon","Mgr",19,0,0,238.50131586,11,24,35.965898215,0
22900,41174,86851,"HomeImp","Other",25,0,0,267.13260885,0,7,24.380389513,0
22400,32665,56639,"DebtCon","Other",13,0,0,101.75835507,1,25,31.470031281,0
6300,92659,117352,"HomeImp","ProfExe",6,0,0,199.01192718,0,27,26.520049519,0
7000,64255,68389,"HomeImp","Other",4,0,0,80.152430908,2,19,40.561860543,0
87500,55938,86794,"DebtCon","Other",15,0,0,223.88104,0,16,36.753652674,0
11200,29348,NA,"HomeImp","ProfExe",20,0,0,224.39489458,0,11,26.129627304,0
25000,47032,75957,"DebtCon","Other",9,0,7,259.46652785,3,22,40.787975749,1
50000,43689,104139,"HomeImp","Self",9,0,0,219.41723912,2,35,38.559389057,0
11000,89275,108653,"DebtCon","Other",15,0,0,206.90348089,2,15,37.743047077,0
8600,75464,84263,"HomeImp","Other",21,0,0,352.65827116,0,47,28.196714905,0
10300,74624,96697,"DebtCon","Office",7,0,0,217.23532123,3,28,41.511300788,0
8800,33395,51057,"DebtCon","Office",2,0,0,80.822479691,1,20,16.883031014,1
13700,95065,123858,"DebtCon","Other",9,0,0,176.95253246,0,27,34.596837528,0
24700,109377,133116,"DebtCon","Mgr",10,1,0,184.35578292,5,17,40.202630102,0
21400,70112,94849,"DebtCon","Other",4,0,0,109.78032096,1,29,35.630504854,0
44000,55604,101916,"DebtCon","Other",3,0,1,194.23495289,2,37,43.338556593,1
7600,133475,203936,"DebtCon","ProfExe",1,0,0,87.452870081,2,23,37.005967843,0
10800,75378,86060,"DebtCon","Mgr",6,0,0,102.66507078,0,23,30.09500969,0
34600,169960,224716,"DebtCon","Mgr",2,0,0,182.06846112,2,21,32.710204856,1
25500,235839,267506,"HomeImp","Self",5,0,0,240.21701392,3,51,39.048427763,0
20100,72775,102308,"DebtCon","Office",8,0,0,206.47884516,2,13,32.782971421,0
23800,188250,233800,"DebtCon","ProfExe",2,0,0,307.57275263,1,27,36.690724403,0
24500,134188,171658,"DebtCon","Other",5,1,0,219.16757792,0,20,34.986140572,0
20200,25956,92553,"DebtCon","ProfExe",7,0,0,156.2693203,0,21,28.290439504,0
28700,107281,155874,"DebtCon","ProfExe",10,0,0,173.83583579,0,17,32.740368493,0
32300,14163,60626,"DebtCon","Other",0,0,0,109.03108797,1,6,36.501086508,0
25500,50847,79738,"DebtCon","Other",20,0,0,204.67790067,0,26,35.860087635,0
15900,68304,92271,"DebtCon","Other",1,1,2,113.22840343,2,25,32.881846931,0
7200,71667,117325,"DebtCon","Office",0,0,1,241.05607809,1,38,18.510551331,0
21800,90065,122335,"DebtCon","Self",3,0,0,212.69546756,1,26,34.84691939,0
13700,32942,40143,"HomeImp","Other",8,0,0,65.000742252,2,12,30.268368849,0
13300,55505,NA,"DebtCon","Other",0,0,0,222.91307236,0,10,32.968632674,0
10400,64904,76767,"DebtCon","Office",11,0,0,245.01801188,4,37,41.423844135,0
14200,100663,122021,"DebtCon","ProfExe",0,0,0,139.98397675,0,20,43.797459562,1
12900,88304,122178,"DebtCon","Office",10,0,0,223.45485481,0,12,41.429958874,0
27200,70730,93752,"DebtCon","Office",8,0,0,165.91933287,0,20,36.170905486,0
20600,185050,234004,"DebtCon","ProfExe",3,0,0,313.60448942,0,27,40.049112625,0
27800,142356,177328,"DebtCon","ProfExe",6,0,0,315.17556745,0,35,38.595990922,0
13300,49491,69028,"DebtCon","ProfExe",16,0,0,195.87763265,0,15,24.877508414,0
38900,200731,269450,"DebtCon","ProfExe",3,0,0,237.34429659,0,32,29.294487897,0
17800,13660,173360,"HomeImp","Mgr",23,0,0,78.838898801,2,21,30.062792323,0
34600,27851,42623,"DebtCon","Mgr",6,0,0,45.927166167,0,7,35.131092706,0
42800,9133,44083,"HomeImp","ProfExe",5,0,0,333.91337361,5,15,13.417822254,1
13000,61865,72045,"DebtCon","ProfExe",0,0,0,172.69668464,2,34,42.565582285,0
17000,70085,81598,"DebtCon","Office",7,0,0,117.19539923,1,20,21.981835715,0
7800,69662,80498,"HomeImp","Other",4,0,0,100.42833098,0,14,42.807341953,0
20700,107766,NA,"DebtCon","Office",12,0,2,223.13789747,0,24,42.547274756,0
18200,61554,94510,"DebtCon","Office",2,0,0,161.35269333,0,24,23.896554711,0
6400,76732,78084,"HomeImp","Other",8,0,0,NA,0,26,37.964554318,0
26500,240782,267675,"HomeImp","Self",6,0,0,229.30702576,1,50,37.740918996,0
21600,59219,98111,"HomeImp","ProfExe",18,0,0,626.77139277,1,23,21.241684226,0
12800,81030,100333,"DebtCon","Mgr",11,0,1,80.148943035,4,29,42.319370392,1
10500,57880,66802,"DebtCon","Other",2,0,0,94.598425262,8,21,45.464765837,1
10500,63130,NA,"DebtCon","Other",3,0,2,305.55692802,0,10,32.177916696,0
9200,48130,62358,"DebtCon","Other",15,0,4,219.65713104,0,36,27.617063425,0
37300,68789,86172,"HomeImp","Self",2,0,6,235.63790564,2,25,114.0505277,1
22600,239115,264462,"HomeImp","Self",5,0,0,244.17973039,2,50,36.700870555,0
9200,57375,69040,"DebtCon","Other",0,0,1,116.41879645,2,18,36.625629459,0
20900,51960,105524,"DebtCon","Office",2,0,3,179.92563497,0,47,37.179602413,0
10700,126751,184554,"DebtCon","Other",8,0,0,225.87035215,0,19,34.13705457,0
14000,50890,68722,"DebtCon","Other",8,0,1,135.76848539,2,49,29.448045527,0
13100,74832,98616,"HomeImp","ProfExe",6,0,0,101.36228964,1,26,27.021480654,0
9600,45240,60136,"DebtCon","Other",2,0,1,83.066750905,0,19,38.454300022,0
10600,44696,57686,"DebtCon","Office",0,0,0,170.34097406,0,20,37.792555026,0
12300,114457,144284,"DebtCon","ProfExe",1,0,0,252.6592531,0,45,32.497145096,0
11000,63314,69285,"DebtCon","ProfExe",15,0,0,244.01777452,3,32,36.542570221,0
21300,63263,NA,"DebtCon","Office",1,0,0,138.34845525,1,22,35.549295097,0
16100,76644,103192,"DebtCon","Other",5,2,0,76.077935453,0,20,24.187933859,0
30500,138082,181157,"DebtCon","ProfExe",2,1,0,219.24730717,1,19,40.874698522,0
27000,79218,115721,"DebtCon","Other",9,0,0,280.3437201,0,35,33.227763077,1
24500,118251,158758,"DebtCon","Mgr",2,0,0,282.64992165,0,24,38.844801954,0
19600,85984,112721,"DebtCon","Mgr",18,0,0,239.13779406,4,31,36.031180289,0
25900,80663,122372,"DebtCon","ProfExe",10,0,1,133.66949395,0,18,26.573930791,0
9100,46406,NA,"HomeImp","Other",9,0,0,93.853460687,3,34,39.466330333,0
11000,52602,61496,"DebtCon","Other",13,0,0,107.34006616,0,22,37.699108592,0
29500,48590,81354,"DebtCon","Office",0,0,0,157.02632626,3,18,40.170618286,0
12200,110088,137794,"DebtCon","ProfExe",3,0,0,251.15189185,1,46,33.517117222,0
10500,34044,55784,"DebtCon","Other",10,0,0,245.1308598,1,32,36.350329432,0
30600,54372,78653,"DebtCon","Office",0,0,0,156.41356965,3,19,40.611094331,0
70500,196690,288512,"DebtCon","Self",9,0,0,227.02713568,2,24,29.582300922,0
10400,37233,52320,"DebtCon","Other",15,0,0,88.677328625,0,11,31.056436786,0
35700,238104,43026,"DebtCon","Mgr",3,0,1,206.64707856,3,49,41.276637124,0
26200,100931,NA,"DebtCon","Office",11,0,1,169.03209387,0,28,41.089569186,0
10000,48769,65328,"DebtCon","Office",4,0,1,104.69524068,3,12,39.049359218,0
17900,63559,81536,"HomeImp","ProfExe",13,0,3,176.87076849,0,13,26.189767088,0
12800,206527,227737,"HomeImp","ProfExe",11,0,0,225.20132562,0,22,31.12184071,0
18400,88352,110216,"HomeImp","Other",1,0,0,376.72364282,3,31,47.830671133,1
15700,74587,93180,"DebtCon","Mgr",19,0,0,263.15916331,10,24,35.404414526,0
18800,22782,60590,"HomeImp","ProfExe",8,0,0,198.87639548,0,13,30.329929987,0
11100,79226,88112,"DebtCon","ProfExe",10,0,1,179.64827359,1,12,40.670904725,0
21400,41671,103427,"HomeImp","Other",6,0,0,122.15334415,0,15,31.614679534,0
26500,63345,100332,"DebtCon","Other",16,0,0,139.51054588,0,30,38.427444569,0
7400,138033,163162,"HomeImp","ProfExe",11,0,0,224.84704249,0,19,21.057574023,0
15700,87754,103045,"HomeImp","Other",21,0,0,147.45017701,4,23,29.181742636,0
16900,47129,62342,"DebtCon","Other",15,0,0,290.14892122,0,21,30.318596795,0
10600,136820,NA,"DebtCon","ProfExe",2,0,0,68.353056056,1,22,38.0722099,0
17300,65444,91244,"DebtCon","ProfExe",8,0,0,202.04968272,0,19,21.573385223,0
36300,22431,42834,"DebtCon","Mgr",6,0,0,50.419594354,0,6,33.416148272,0
12600,80612,93802,"DebtCon","Mgr",5,0,0,141.61314558,2,26,40.74903888,0
18800,96272,163250,"DebtCon","Mgr",2,0,0,204.49258593,1,19,37.868355391,0
26600,148986,175750,"DebtCon","Other",1,0,0,NA,0,35,40.514989578,0
13900,50415,68166,"DebtCon","Other",10,0,0,235.68096702,0,17,33.770037533,0
21700,24984,92297,"DebtCon","Other",26,0,6,238.36963726,1,20,16.397160872,1
36500,141200,195729,"DebtCon","ProfExe",23,0,0,182.72889478,0,22,37.405509575,0
6700,66587,NA,"DebtCon","ProfExe",9,1,0,43.923382631,1,24,39.738576265,0
20300,59809,107994,"DebtCon","ProfExe",15,0,3,263.99129317,0,36,26.50856379,0
20800,176235,209695,"DebtCon","Other",9,3,0,159.70677027,0,25,38.591939971,1
6900,97662,110046,"HomeImp","Office",24,0,0,111.12339734,0,11,37.253150854,0
36000,145908,190303,"DebtCon","ProfExe",20,0,0,179.71924547,0,21,38.600764985,0
27200,97541,126368,"DebtCon","ProfExe",0,1,0,186.77854794,3,38,34.81068944,0
14900,49849,70075,"DebtCon","Office",0,0,0,153.69186903,0,25,30.900915596,0
47100,48062,107824,"HomeImp","Self",9,0,0,203.68669838,2,35,41.526317397,0
13500,67180,85634,"DebtCon","Sales",5,0,0,147.35531256,0,35,28.522553371,0
8700,76510,108130,"DebtCon","Office",2,0,0,252.84392821,1,37,17.414859614,0
27700,97834,132396,"HomeImp","ProfExe",18,0,2,303.95191452,2,26,6.8870241268,1
17600,29201,41396,"DebtCon","Mgr",19,0,0,89.20252735,1,16,23.93494584,0
17000,86341,133564,"DebtCon","ProfExe",15,0,0,307.67385711,0,18,28.368210586,0
18300,109437,114900,"DebtCon","Other",1,0,0,138.17185084,1,20,38.332316894,0
18900,91784,117626,"DebtCon","Other",21,0,0,280.1234728,0,16,25.67302186,0
16900,116357,209364,"DebtCon","Other",4,0,0,221.12855483,0,16,27.900263904,0
22000,70139,95042,"DebtCon","Other",2,0,0,97.908582906,2,29,32.524528239,0
18200,120966,208782,"DebtCon","Other",4,0,0,202.53433338,0,17,27.436646043,0
9900,108155,219936,"HomeImp","ProfExe",2,0,0,126.93937738,1,15,27.992051659,0
15000,26284,40908,"DebtCon","ProfExe",20,0,1,198.83120375,1,16,32.012392305,0
20700,80124,99938,"DebtCon","Mgr",7,0,0,69.324719576,7,24,38.679633572,0
10800,70214,83882,"DebtCon","Office",4,1,2,172.79930087,3,30,38.588823585,0
24900,17139,33269,"DebtCon","Other",16,3,0,124.19682654,1,18,26.275832415,0
49800,44462,102203,"HomeImp","Self",8,0,0,207.56405016,3,37,40.302867689,0
23400,97865,120172,"DebtCon","Self",2,0,0,200.57575228,1,26,36.398728722,0
11300,64437,79857,"DebtCon","Office",5,0,0,88.789155967,2,14,27.899267889,0
4700,71855,88566,"HomeImp","Other",2,2,0,283.95953809,0,5,36.475473283,0
22200,9709,NA,"DebtCon","Other",0,0,0,28.523782719,1,3,29.599780197,0
27600,73846,100216,"DebtCon","ProfExe",12,0,0,282.37066144,1,33,38.191251339,0
20200,130401,171686,"DebtCon","ProfExe",7,0,0,178.94254482,0,38,20.327137907,0
7200,98691,115750,"HomeImp","Office",22,0,0,118.00014232,0,11,37.72035861,0
15800,58388,100944,"HomeImp","Other",0,0,3,51.525147534,1,10,39.862520135,0
10600,28264,86546,"HomeImp","ProfExe",20,0,0,244.14050903,0,11,24.20235008,0
8400,57103,78079,"DebtCon","Other",0,0,0,56.30976479,8,21,23.521188257,0
15100,44959,68483,"DebtCon","Mgr",27,1,0,279.94798859,1,17,37.180947854,0
27100,44095,77587,"DebtCon","Mgr",14,1,0,92.140029015,6,15,33.535547201,0
27900,149359,192955,"HomeImp","Self",0,0,0,172.57959055,1,16,40.135531359,0
26700,144243,176096,"DebtCon","Other",1,0,0,194.67979612,0,34,40.479243579,0
6900,53328,58088,"DebtCon","Sales",2,0,0,101.5319079,0,21,35.764058362,1
12400,49264,57923,"DebtCon","Other",0,0,0,182.00104146,2,13,27.00877688,0
25100,66938,92544,"DebtCon","ProfExe",8,1,1,135.66507023,4,26,34.565876305,0
31500,10879,58089,"DebtCon","Other",0,0,0,94.248035718,0,5,38.662402273,0
27200,61118,NA,"DebtCon","Sales",10,4,2,134.6489043,7,23,45.25528966,1
15900,69548,89775,"DebtCon","Other",1,0,0,230.67308026,2,25,30.108317431,0
25500,113204,184561,"DebtCon","Sales",17,1,0,308.95819842,1,31,34.357866,0
22400,93140,120977,"DebtCon","Other",23,0,0,232.85548365,0,27,39.744314309,0
24000,43948,86111,"HomeImp","Other",24,0,0,258.30359386,0,7,26.61774876,0
31000,67794,103535,"DebtCon","Mgr",7,0,1,116.89898988,1,31,44.065428782,1
30100,24350,40356,"DebtCon","Other",0,0,0,81.840250201,0,6,13.409995648,0
12400,80510,97548,"HomeImp","ProfExe",1,0,0,74.404263327,1,19,36.457349926,0
19900,132878,199172,"HomeImp","ProfExe",14,0,0,197.92380603,0,22,35.330603966,0
25000,75110,114208,"DebtCon","Mgr",3,2,0,83.052647472,1,27,45.743949059,1
18000,54196,71412,"DebtCon","ProfExe",10,0,0,189.87427039,1,42,37.352105103,0
13700,12577,41075,"DebtCon","Mgr",7,0,0,133.54201413,0,10,22.964772727,0
31300,188655,298090,"DebtCon","Other",28,0,0,153.0868546,0,22,40.296770712,0
42100,17852,65877,"DebtCon","Other",18,0,0,201.43027015,1,30,43.195193566,0
25400,149364,210724,"HomeImp","Other",10,0,0,NA,1,34,41.617983034,0
15800,51163,157644,"DebtCon","ProfExe",19,0,0,239.22478943,0,28,20.747520522,0
30500,10952,65166,"DebtCon","Other",0,0,0,91.951603506,1,6,37.692624384,0
11300,57377,75038,"DebtCon","Office",4,0,0,91.219961165,1,15,25.140279716,0
10100,47426,68820,"DebtCon","Other",16,0,4,220.7609123,0,36,24.01951269,0
23000,72638,109183,"DebtCon","ProfExe",2,0,0,177.61164796,2,22,48.277591224,1
24800,64537,93212,"DebtCon","ProfExe",7,1,1,120.35142038,4,25,34.686088674,0
32800,189564,296728,"DebtCon","Other",27,0,0,155.53689674,0,23,38.05331686,0
33000,18026,57436,"DebtCon","Other",0,0,0,94.118968045,0,5,37.749933733,0
11500,43945,63337,"DebtCon","Mgr",2,0,1,193.74248539,0,21,27.623493964,0
51700,183615,257077,"DebtCon","ProfExe",4,0,0,213.75585017,2,32,38.95331304,0
33700,26395,48905,"DebtCon","Mgr",6,0,0,48.710053215,0,7,36.42433271,0
18800,88828,116683,"DebtCon","ProfExe",6,0,0,141.84139798,1,20,21.679278339,0
9800,54564,62109,"DebtCon","Mgr",10,0,0,124.02162504,0,19,32.565686372,0
15900,16744,52234,"DebtCon","ProfExe",3,0,0,288.41594954,0,16,17.452227433,0
27900,50988,81533,"DebtCon","Office",1,0,0,167.61445006,2,18,40.620884753,0
11100,61856,77275,"HomeImp","Other",4,0,1,243.71377409,1,16,36.564119563,0
9000,75453,100646,"DebtCon","ProfExe",3,0,0,126.30983495,0,26,33.75846632,0
9500,35019,52710,"DebtCon","Other",12,0,0,241.58177936,0,31,38.208667839,0
13800,76537,108747,"DebtCon","Other",5,0,0,73.075238088,1,14,34.2526057,0
13300,67483,85454,"DebtCon","ProfExe",16,0,2,335.98931518,1,14,30.37586285,1
18400,48970,69559,"DebtCon","ProfExe",20,0,0,178.01583301,0,23,39.707988067,0
